WikiId,First name,Last name,Street count
Bronisław_Markiewicz,Bronisław,Markiewicz,10
Rafał_Kalinowski,Rafał,Kalinowski,10
Jack_Kuroń,Jack,Kuroń,10
Sławomir_Mrożek,Sławomir,Mrożek,10
Janusz_Meissner,Janusz,Meissner,9
Jan_Bach,Jan Sebastian,Bach,9
Klemens_Janicki,Klemens,Janicki,9
Lew_Tołstoj,Lew,Tołstoj,9
Ewa_Szelburg-Zarembiny,Ewa,Szelburg-Zarembiny,9
Jan_Cybis,Jan,Cybis,9
Stanisław_Grochowiak,Stanisław,Grochowiak,9
Ignacy_Potocki,Ignacy,Potocki,9
K._Gałczyński,K. I.,Gałczyński,9
Kamil_Baczyński,Kamil,Baczyński,9
Franciszek_Zabłocki,Franciszek,Zabłocki,9
Gustaw_Herling-Grudziński,Gustaw,Herling-Grudziński,9
Ignacy_Skorupka,Ignacy Jan,Skorupka,9
Stefan_Drzewiecki,Stefan,Drzewiecki,9
Aleksander_Zawadzki,Aleksander,Zawadzki,9
Roman_Abraham,Roman,Abraham,9
Walenty_Roździeński,Walenty,Roździeński,9
Władysław_Skoczylas,Władysław,Skoczylas,9
Paweł_Włodkowic,Paweł,Włodkowic,9
Paweł_Jasienica,Paweł,Jasienica,9
Marian_Smoluchowski,Marian,Smoluchowski,9
Braci_Śniadeckich,Braci,Śniadeckich,9
Władysław_Podkowiński,Władysław,Podkowiński,9
Edmund_Taczanowski,Edmund,Taczanowski,9
Witold_Doroszewski,Witold,Doroszewski,9
Włodzimierz_Puchalski,Włodzimierz,Puchalski,9
Leopold_Lis-Kula,Leopold,Lis-Kula,9
Władysław_Bełzy,Władysław,Bełzy,9
Kazimierz_Pużak,Kazimierz,Pużak,9
Jan_Skrzynecki,Jan,Skrzynecki,9
Władysław_Bandurski,Władysław,Bandurski,9
Łukasz_Ciepliński,Łukasz,Ciepliński,9
Krzysztof_Arciszewski,Krzysztof,Arciszewski,9
Józef_Szafrank,Józef,Szafrank,9
Florian_Marciniak,Florian,Marciniak,9
Jan_Bażyński,Jan,Bażyński,9
Michał_Grażyński,Michał,Grażyński,9
Tadeusz_Jasiński,Tadeusz,Jasiński,9
Władysław_Bartoszewski,Władysław,Bartoszewski,9
Marcin_Kromer,Marcin,Kromer,8
Tadeusz_Banachiewicz,Tadeusz,Banachiewicz,8
Bolesław_Krupiński,Bolesław,Krupiński,8
Jan_Nepomucen,Jan,Nepomucen,8
Franciszek_Ratajczak,Franciszek,Ratajczak,8
Ignacy_Solarz,Ignacy,Solarz,8
Franciszek_Hynk,Franciszek,Hynk,8
Zofia_Kossak-Szczucka,Zofia,Kossak-Szczucka,8
Jerzy_Giedroyć,Jerzy,Giedroyć,8
Roberto_Schuman,Roberto,Schuman,8
Antoni_Czechow,Antoni,Czechow,8
Halina_Konopacka,Halina,Konopacka,8
K._Baczyński,K. K.,Baczyński,8
Księżnej_Anny,Księżnej,Anny,8
Ewaryst_Estkowski,Ewaryst,Estkowski,8
Bolesław_Komink,Bolesław,Komink,8
Andrzej_Małkowski,Andrzej,Małkowski,8
Marcin_Borelowski,Marcin,Borelowski,8
Maksymilian_Kolbe,Maksymilian Maria,Kolbe,8
Hubert_Wagner,Hubert,Wagner,8
Józef_Mackiewicz,Józef,Mackiewicz,8
Jan_Karłowicz,Jan,Karłowicz,8
Teofil_Lenartowicz,Teofil Aleksander,Lenartowicz,8
Stanisław_Jachowicz,Stanisław,Jachowicz,8
Jan_Bosko,Jan,Bosko,8
Stefan_Rogoziński,Stefan,Rogoziński,8
Stefan_Pogonowski,Stefan,Pogonowski,8
Księcia_Janusz,Księcia,Janusz,8
Włodzimierz_Tetmajer,Włodzimierz,Tetmajer,8
Władysław_Żeleński,Władysław,Żeleński,8
Roch_Kowalski,Roch,Kowalski,8
Witold_Urbanowicz,Witold,Urbanowicz,8
Klementyna_Hoffmanowa,Klementyna,Hoffmanowa,8
Jan_Wiktor,Jan,Wiktor,8
Jakub_Kania,Jakub,Kania,8
Franciszek_Sędzicki,Franciszek,Sędzicki,8
Piotr_Niedurnego,Piotr,Niedurnego,8
Józef_Wryczy,Józef,Wryczy,8
Maria_Zientary-Malewska,Maria,Zientary-Malewska,8
Jerzy_Ziętk,Jerzy,Ziętk,8
Henryk_Łasak,Henryk,Łasak,7
Stanisława_Walasiewiczówny,Stanisława,Walasiewiczówny,7
Jan_Szancer,Jan Marcin,Szancer,7
Sebastian_Klonowic,Sebastian,Klonowic,7
Jan_Śniadecki,Jan,Śniadecki,7
Władysław_Bortnowski,Władysław,Bortnowski,7
August_Fieldorf,August Emil,Fieldorf,7
Bronisław_Trentowski,Bronisław,Trentowski,7
Kajetan_Koźmian,Kajetan,Koźmian,7
Karol_Kniaziewicz,Karol,Kniaziewicz,7
Jeremi_Wiśniowiecki,Jeremi,Wiśniowiecki,7
Józef_Chociszewski,Józef,Chociszewski,7
Aleksander_Głowacki,Aleksander,Głowacki,7
Szymon_Konarski,Szymon,Konarski,7
Wojciech_Głowacki,Wojciech,Głowacki,7
Józef_Czapski,Józef,Czapski,7
Julian_Ordon,Julian,Ordon,7
Aleksander_Janowski,Aleksander,Janowski,7
Tomasz_Nocznicki,Tomasz,Nocznicki,7
